Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 11/02/2025
Comparison Date: 
Total Yarding: 2910 (NQ)
Commentary
"There were approximately 2500 export and 410 young cattle penned representing a decrease of 36 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good with fewer dairy lots in the bullocks while the trade offering was very mixed. Well finished trade cattle lilted 10c to 15c/kg while secondary lots were cheaper. Grown steers sold firm while bullocks gained 5c/kg. Heavy Friesian manufacturing steers improved 15c to 23c with the crossbred portion firm to 8c/kg dearer. Heavy beef cows gained 5c to 10c while light conditioned dairy lots kicked 20c to 30c/kg. Heavy bulls lifted 5c/kg. 

Vealers sold from 250c to 408c/kg. Yearling trade steers made between 335c and 370c/kg. Yearling heifers to the trade sold between 310c and 355c/kg. Grown steers made from 335c to 380c/kg. Bullocks sold from 350c to 403c/kg. 

Heavy Friesian manufacturing steers made between 272c and 342c with the crossbred portion between 280 and 372c/kg. Most light and medium weight cows sold between 205c and 256c/kg. Heavy weight cows made mostly from 243c to 298c/kg. Heavy bulls sold from 270c to 316c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Restocker,D,1,30,NQ,233.0,256.0,246.03333333333333,NQ,517.8,568.9,546.7,1048.5,1280.0,1179.6833333333334
Cows,400-520,Restocker,E,1,48,-55,215.0,234.0,223.5,18.5,511.9,557.1,532.1,946.0,1170.0,1047
Cows,520+,Dairy,D,1,15,-45,240.0,244.0,242.4,10.1,521.7,542.2,534.0,1342.0,1680.0,1477.2
Cows,520+,Dairy,D,2,83,33,256.0,285.0,272.4578313253012,4.8,544.7,583.3,569.7,1775.3,2137.5,1933.30421686747
Cows,520+,Dairy,E,1,59,-74,228.0,246.0,235,19.8,518.2,546.7,532.6,1276.8,1599.0,1367.7593352754238
Cows,520+,Dairy,E,2,17,13,245.0,268.0,253.11764705882354,8.6,532.6,570.2,545.9,1347.5,1541.0,1415.7941176470588
Cows,520+,Processor,C,2,4,-3,280.0,280.0,280,3.0,560.0,560.0,560.0,1610.0,1610.0,1610
Cows,520+,Processor,C,3,41,NQ,303.0,316.0,307.8536585365854,NQ,572.2,607.7,586.7,1759.5,2317.5,2139.451219512195
Cows,520+,Processor,D,1,30,13,243.0,255.0,251.4,-6.6,528.3,566.7,551.0,1360.8,1402.5,1380.6400065104167
Cows,520+,Processor,D,2,111,6,260.0,280.0,273.55855855855856,8.7,541.7,583.3,568.3,1404.0,1807.0,1582.1108090512387
Cows,520+,Processor,D,3,81,35,272.0,296.0,283.2962962962963,8.6,555.1,592.0,573.4,1529.0,2030.0,1746.4864185474537
Cows,520+,Processor,D,4,77,-61,286.0,298.0,294.09090909090907,4.1,572.0,596.0,588.2,1728.0,2072.0,1904.3051948051948
Cows,520+,Processor,D,5,16,12,266.0,298.0,294,24.0,532.0,596.0,588.0,1937.0,2235.0,2056
Cows,520+,Processor,E,1,1,NQ,226.0,226.0,226,NQ,491.3,491.3,491.3,1243.0,1243.0,1243
Cows,520+,Restocker,D,1,12,NQ,246.0,246.0,246,NQ,534.8,534.8,534.8,1353.0,1353.0,1353
Cows,520+,Restocker,D,2,8,NQ,266.0,266.0,266,NQ,554.2,554.2,554.2,1596.0,1596.0,1596
Bulls,0-450,Dairy,D,1,1,NQ,250.0,250.0,250,NQ,543.5,543.5,543.5,1100.0,1100.0,1100
