Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 2567 (-689)
Commentary
"There were approximately 2060 export and 500 young cattle penned representing a decrease of 690 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with a large proportion of the yarding carrying plenty of finish. Trade cattle sold firm to 4c/kg easier. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers gave back 4c to 6c/kg. Heavy heifers eased 3c/kg. Cows eased 5c to 15c/kg. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 297c to 380c/kg. Yearling trade steers made between 330c and 375c/kg. Yearling heifers to the trade sold between 310c and 376c/kg. Grown steers made from 330c to 388c/kg. Bullocks sold from 348c to 396c/kg. 

Heavy Friesian manufacturing steers made between 250c and 325c with the crossbred portion between 300c and 374c/kg. Most light and medium weight cows sold between 200c and 272c/kg. Heavy weight cows made mostly from 234c to 302c/kg. Heavy bulls sold from 275c to 320c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Restocker,D,1,1,NQ,265.0,265.0,265,NQ,576.1,576.1,576.1,1325.0,1325.0,1325
Grown Heifer,0-540,Restocker,D,2,2,NQ,285.0,300.0,292.5,NQ,606.4,625.0,615.7,1311.0,1425.0,1368
Grown Heifer,540+,Dairy,D,2,7,4,286.0,286.0,286,-24.0,595.8,595.8,595.8,1830.4,1830.4,1830.3999720982142
Grown Heifer,540+,Processor,C,3,11,NQ,310.0,338.0,329.6363636363636,NQ,574.1,614.5,600.3,1705.0,2028.0,1963.7272727272727
Grown Heifer,540+,Processor,D,2,20,4,285.0,288.0,285.45,-18.6,570.0,593.8,584.0,1567.5,1638.8,1595.67001953125
Grown Heifer,540+,Processor,D,3,50,28,308.0,355.0,320,-2.6,574.1,657.4,602.2,1724.8,2093.0,1862.28203125
Grown Heifer,540+,Processor,D,4,26,21,286.0,318.0,311.2307692307692,-12.8,550.0,611.5,592.6,1782.5,2170.0,1912.7115384615386
Grown Heifer,540+,Restocker,D,4,2,NQ,313.0,313.0,313,NQ,601.9,601.9,601.9,1799.8,1799.8,1799.75
Cows,0-400,Processor,E,1,2,NQ,212.0,212.0,212,NQ,504.8,504.8,504.8,848.0,848.0,848
Cows,0-400,Restocker,D,1,2,NQ,218.0,218.0,218,NQ,484.4,484.4,484.4,872.0,872.0,872
Cows,0-400,Restocker,E,1,5,-4,150.0,155.0,154,-34.0,387.5,394.7,388.9,562.5,620.0,608.5
Cows,400-520,Dairy,E,1,30,-30,200.0,228.0,217.86666666666667,-7.9,500.0,519.0,514.6,950.0,1080.0,1008.7833333333333
Cows,400-520,Dairy,E,2,6,-3,245.0,245.0,245,10.0,556.8,556.8,556.8,1225.0,1225.0,1225
Cows,400-520,Processor,D,2,6,-27,248.0,272.0,267,-6.4,527.7,578.7,566.1,1116.0,1360.0,1314.3333333333333
Cows,400-520,Processor,D,3,5,NQ,300.0,310.0,304,NQ,612.2,632.7,620.4,1425.0,1550.0,1475
Cows,400-520,Processor,D,4,1,NQ,296.0,296.0,296,NQ,592.0,592.0,592.0,1332.0,1332.0,1332
Cows,400-520,Restocker,E,1,18,-7,190.0,218.0,205.83333333333334,-20.0,475.0,519.0,495.2,855.0,1090.0,1007.7777777777778
Cows,520+,Dairy,D,1,19,-44,234.0,248.0,239.8421052631579,-19.5,508.7,539.1,526.8,1362.8,1612.0,1474.7763157894738
Cows,520+,Dairy,D,2,36,-36,262.0,280.0,269.1111111111111,-6.8,545.8,583.3,565.9,1441.0,1980.0,1761.9444444444443
Cows,520+,Dairy,E,1,35,-48,213.0,242.0,231.5142857142857,-7.3,507.1,550.0,533.3,1171.5,1380.0,1298.6857142857143
Cows,520+,Dairy,E,2,6,-8,245.0,245.0,245,-24.4,544.4,544.4,544.4,1347.5,1347.5,1347.5
Cows,520+,Processor,C,3,2,-16,318.0,318.0,318,1.4,611.5,611.5,611.5,2067.0,2067.0,2067
Cows,520+,Processor,D,1,10,-22,262.0,262.0,262,-8.4,569.6,569.6,569.6,1441.0,1441.0,1441
Cows,520+,Processor,D,2,94,-10,250.0,290.0,277.27659574468083,-3.1,531.9,591.8,570.7,1375.0,1957.5,1627.3537234042553
Cows,520+,Processor,D,3,77,-32,270.0,290.0,287.1168831168831,-11.9,551.0,591.8,575.4,1512.0,2016.0,1750.2922077922078
Cows,520+,Processor,D,4,142,1,288.0,312.0,295.5633802816901,-16.0,557.7,624.0,582.6,1673.3,2325.0,2031.5598591549297
Cows,520+,Processor,D,5,8,NQ,295.0,295.0,295,NQ,590.0,590.0,590.0,2212.5,2212.5,2212.5
Bulls,0-450,Dairy,D,2,2,NC,258.0,268.0,263,-5.0,548.9,558.3,553.6,1161.0,1206.0,1183.5
Bulls,0-450,Processor,C,2,7,6,230.0,260.0,242.85714285714286,-37.1,425.9,481.5,446.1,920.0,1170.0,1016.7857142857143
Bulls,450-600,Dairy,C,2,1,NQ,286.0,286.0,286,NQ,520.0,520.0,520.0,1716.0,1716.0,1716
Bulls,450-600,Dairy,D,2,5,-1,270.0,288.0,278.8,-4.0,524.5,562.5,549.3,1459.5,1680.0,1589.7
Bulls,450-600,Processor,B,2,2,NC,282.0,300.0,291,1.0,486.2,526.3,506.3,1339.5,1800.0,1569.75
Bulls,450-600,Processor,C,2,12,9,272.0,306.0,286.1666666666667,2.8,503.7,546.4,521.8,1539.0,1836.0,1648.875
Bulls,450-600,Processor,C,3,1,NC,310.0,310.0,310,22.0,553.6,553.6,553.6,1782.5,1782.5,1782.5
Bulls,450-600,Processor,D,1,4,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,1495.0,1495.0,1495
Bulls,600+,Dairy,D,1,5,NQ,256.0,275.0,263.4,NQ,533.3,572.9,548.8,1664.0,1787.5,1725.2
Bulls,600+,Dairy,D,2,15,-1,275.0,293.0,284.4,11.8,518.9,552.8,539.9,2070.0,2270.8,2190.2833333333333
Bulls,600+,Processor,B,2,5,-1,295.0,320.0,309.6,7.8,508.6,533.3,522.9,2310.0,3021.0,2632.4
Bulls,600+,Processor,C,2,4,-24,286.0,295.0,291,3.0,510.7,526.8,519.6,2002.0,2304.0,2145.875
Bulls,600+,Processor,C,3,11,-23,286.0,306.0,300.72727272727275,7.3,501.8,535.7,522.6,2100.0,2907.0,2631.2727272727275
