Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 3929 (+332)
Commentary
"There was further increase in numbers of 332 head, to 3929 head at CQLX Gracemere cattle sale. Cattle were again sourced from the usual draw areas with several lines on offer in most categories. One more processor operated, along with the return of one feed lot buyer. There were several different restockers also operating. There were quality related increases in most categories from last week, along with improvements in feeder steer and well finished processor cow lines above last sale rates.

Light weight yearling steers, in well bred pens, sold to 423c/kg, averaging 320c to 377c/kg for well-bred lines. Medium and heavy pens reached a top of 419c/kg, to average 357c to 389c/kg for the best-bred lots. Light weight yearling heifers averaged 252c to 281c/kg with sales reaching 320c/kg occasionally. Medium weight pens sold to 335c/kg with averages from 289c to 317c/kg attained.    

Feedlots paid to 420c/kg for their Grown steers, averaging 345c to 386c/kg for the best. A few bullocks sold to processors to average 310c to 327c/kg. The best of the trade heifers averaged 293c to 320c/kg. Feeders paid averages from 260c to 299c/kg for their grown heifers.

The best of the restocker cows made from 227c to 248c/kg, whilst, heavy, four score cows sold to 294c/kg, averaging 282c/kg. Heavy bulls averaged 281c/kg to Livex and 245c/kg to processors. Cows and calves held to sell from $1,160 to $1,500 per unit. 
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,D,2,60,34,210.0,295.0,259.5,-9.6,403.8,567.3,499.0,575.0,1170.3,876.4058349609375
Grown Heifer,0-540,Feeder,D,3,1,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1183.0,1183.0,1183
Grown Heifer,0-540,Processor,C,2,17,13,267.0,317.0,295.11764705882354,3.1,503.8,598.1,560.9,947.8,1458.2,1266.117639878217
Grown Heifer,0-540,Processor,C,3,29,-7,281.0,309.0,292.58620689655174,-13.6,530.2,583.0,553.9,1076.7,1414.7,1313.2017232960668
Grown Heifer,0-540,Processor,C,4,32,-4,317.0,329.0,320.125,8.3,587.0,609.3,601.9,1505.8,1546.3,1518.5375061035156
Grown Heifer,0-540,Processor,D,2,85,60,235.0,296.0,277.8,7.5,480.8,569.2,540.1,869.5,1272.8,1104.2488195082722
Grown Heifer,0-540,Processor,D,3,19,8,269.0,309.0,280.1578947368421,-12.6,507.5,643.8,538.2,941.5,1282.3,1085.9499897203948
Grown Heifer,0-540,Processor,D,4,9,NQ,285.0,317.0,301.8888888888889,NQ,548.1,587.0,563.6,1168.5,1495.0,1404.8944227430557
Grown Heifer,0-540,Restocker,C,2,23,NQ,280.0,303.0,297.95652173913044,NQ,538.5,582.7,573.0,714.0,1333.2,1212.4608313519022
Grown Heifer,0-540,Restocker,C,3,12,11,291.0,321.0,311,NC,549.1,605.7,586.8,1236.8,1428.4,1364.5499674479167
Grown Heifer,0-540,Restocker,D,1,3,NQ,40.2,40.2,40.20000203450521,NQ,80.4,80.4,80.4,98.5,98.5,98.49000040690105
