Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 2788 (-254)
Commentary
"There were approximately 2440 export and 350 young cattle penned representing a decrease of 250 head week-on-week. The usual buying group was present and operating in a dearer market. Quality declined with more secondary cattle and a large proportion of cows. Young cattle lifted up to 30c/kg with processors competing for finished lots and feedlots and graziers working to secure suitable lines. Grown steers to feed lifted 10c/kg while bullocks lifted 4c/kg. Manufacturing steers sold firm to 7c/kg dearer. Cows lifted 5c to 15c/kg. Heavy bulls held firm. 

Vealers sold from 300c to 388c/kg. Yearling trade steers made between 336c and 422c/kg. Yearling heifers to the trade sold between 330c and 388c/kg. Grown steers made from 350c to 404c/kg. Bullocks sold from 372c to 418c/kg. 

Heavy Friesian manufacturing steers made between 268c and 356c with the crossbred portion between 311c and 385c/kg. Most light and medium weight cows sold between 202c and 275c/kg. Heavy weight cows made mostly from 237c to 342c/kg. Heavy bulls sold from 302c to 344c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,D,3,70,-2,296.0,319.0,310.0571428571429,8.1,604.1,638.0,624.7,1661.0,2226.0,1850.5892857142858
Cows,520+,Processor,D,4,123,-42,310.0,342.0,322.3252032520325,8.6,620.0,657.7,635.3,1872.0,2415.0,2151.5142276422766
Cows,520+,Processor,D,5,6,4,313.0,313.0,313,17.5,626.0,626.0,626.0,2191.0,2191.0,2191
Cows,520+,Processor,E,1,7,-7,225.0,225.0,225,-39.0,535.7,535.7,535.7,1260.0,1260.0,1260
Cows,520+,Restocker,E,1,6,NQ,255.0,255.0,255,NQ,579.5,579.5,579.5,1466.3,1466.3,1466.25
Bulls,0-450,Processor,B,2,2,NQ,330.0,352.0,341,NQ,569.0,606.9,587.9,1408.0,1485.0,1446.5
Bulls,0-450,Processor,C,1,2,-2,290.0,290.0,290,37.8,557.7,557.7,557.7,1305.0,1305.0,1305
Bulls,0-450,Processor,C,2,4,2,286.0,294.0,289,24.0,529.6,544.4,535.2,1072.5,1305.0,1174.875
Bulls,0-450,Processor,D,2,2,NQ,284.0,284.0,284,NQ,591.7,591.7,591.7,1136.0,1136.0,1136
Bulls,0-450,Restocker,C,2,2,NQ,300.0,305.0,302.5,NQ,555.6,564.8,560.2,854.0,900.0,877
Bulls,450-600,Dairy,D,2,5,NQ,304.0,308.0,307.2,NQ,584.6,641.7,630.3,1672.0,1771.0,1720.4
