Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 1248 (-2051)
Commentary
"Numbers at CQLX Gracemere Sale decreased following useful falls of rain in some coastal areas with 1248 head penned - some 2051 less than last week. Most cattle came from local areas to the west and coastal districts south to Miriamvale and included a draft from one recently sold property. Quality and condition varied as did the prices realised, however well presented lines sold at, or above last sale rates, despite some regular buyers not operating.

Light weight yearling steers sold to 445c/kg with well-bred pens averaging 408c/kg. Medium weight pens topped at 437c/kg to return averages from 367c to 428c/kg. Light weight yearling heifers averaged 237c to 321c/kg with the best making 355c/kg. Medium weight lines topped at 341c/kg, averaging 280c to 289c/kg for best-bred pens.

A few grown steers to processors sold from 314c to 349c/kg, whilst feeder weight pens. made from 325c to 354c/kg average. Trade weight grown heifers, well finished rose to a top price of 331c/kg, averaging 297c to 315c/kg.         

Processor cows made to 297c/kg, averaging 285c to 288c/kg - an improvement of 14 to 19c/kg on last sale. Heavy bulls to livex averaged 229c to 235c/kg. Cows and calves made $1,200 to $1,820 per unit.  Reporter: Richard Thomson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,D,4,13,-55,286.0,289.0,288.2307692307692,14.3,550.0,578.0,569.7,1546.2,1742.4,1564.142324594351
Cows,520+,Processor,D,5,1,NQ,255.0,255.0,255,NQ,510.0,510.0,510.0,1453.5,1453.5,1453.5
Calves,80+,Feeder,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,286.0,286.0,286
Bulls,0-450,Feeder,C,2,5,NQ,233.0,255.0,237.4,NQ,448.1,490.4,456.5,803.8,994.5,841.97998046875
Bulls,0-450,Feeder,D,2,48,30,253.0,277.0,262.7083333333333,-77.3,486.5,532.7,505.2,777.0,858.7,815.8229370117188
Bulls,0-450,Feeder,E,2,26,NQ,255.0,273.0,265.84615384615387,NQ,490.4,525.0,511.2,752.3,894.2,843.0749887319712
Bulls,0-450,Live Export,D,2,2,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,715.5,715.5,715.5
Bulls,0-450,Processor,D,2,1,-26,247.0,247.0,247,0.3,475.0,475.0,475.0,444.6,444.6,444.6000061035156
Bulls,0-450,Restocker,C,2,11,-3,223.0,305.0,286.6363636363636,-17.3,428.8,586.5,551.2,696.2,893.8,846.4408957741477
Bulls,0-450,Restocker,D,2,1,-4,295.0,295.0,295,-59.2,567.3,567.3,567.3,944.0,944.0,944
Bulls,0-450,Restocker,E,2,1,NQ,237.0,237.0,237,NQ,455.8,455.8,455.8,426.6,426.6,426.6000061035156
Bulls,450-600,Live Export,C,2,2,1,243.0,249.0,246,-9.0,467.3,469.8,468.6,1129.9,1232.6,1181.25
Bulls,450-600,Live Export,C,3,3,NQ,361.0,361.0,361,NQ,681.1,681.1,681.1,1823.1,1823.1,1823.0501302083333
Bulls,450-600,Processor,C,3,3,NQ,227.0,227.0,227,NQ,412.7,412.7,412.7,1237.2,1237.2,1237.1500651041667
Bulls,450-600,Restocker,C,3,7,NQ,233.0,233.0,233,NQ,423.6,423.6,423.6,1246.6,1316.4,1276.5071498325892
Bulls,600+,Live Export,C,2,1,NQ,229.0,229.0,229,NQ,432.1,432.1,432.1,1499.9,1499.9,1499.949951171875
Bulls,600+,Live Export,C,3,2,-3,235.0,235.0,235,-20.8,427.3,427.3,427.3,1457.0,1457.0,1457
Bulls,600+,Processor,C,3,1,-14,267.0,267.0,267,23.1,485.5,485.5,485.5,2256.1,2256.1,2256.14990234375
