Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 11/11/2024
Comparison Date: 04/11/2024
Total Yarding: 1958 (+684)
Commentary
"It was a larger sale with 1958 today at Muchea. The sale comprised of several excellent runs of European and British bred weaners, healthy stocks of grown and yearling cattle and again large lines of pastoral steers, cows and bulls. A full buying field were in attendance and were keen on weaners lifting steers up 20c and heifers up 10c while Yearlings generally eased around 10c/kg. Store and medium cows were also slightly softer and Live exporters were strong on bulls over a wide weight range.
Weaner steers showing leaner fat cover were selling from 220c to 292c and with better cover from 300c to 366c and plainer weaner heifers from 170c to 210c and in better condition up to 298c/kg. Apart from the odd plain body yearling steers were mostly in feedlot or slaughter condition and sold consistently from 280c to 340c while yearling heifers started from 180c up to 288c depending on quality.
    Grown steers remained firm selling from 200c up to 288c while grown heifers lifted 10c making 216c to 272c/kg. store cows eased 10c selling from 50c to 138c while medium cows were slightly softer returning 140c to 200c and heavy cows peaked at 220c/kg.
Shipping bulls ranged from 160c to 264c and slaughter bulls were a little softer selling from 170c to 212c/kg
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Bulls,0-450,Live Export,D,3,53,2,160.0,254.0,208.8679245283019,1.2,301.9,479.2,397.1,409.6,906.4,669.8332012824293
Bulls,0-450,Processor,D,2,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,507.0,507.0,507
Bulls,0-450,Restocker,C,3,3,NQ,200.0,230.0,220,NQ,363.6,418.2,400.0,564.0,680.8,641.8666585286459
Bulls,0-450,Restocker,D,3,1,NQ,190.0,190.0,190,NQ,358.5,358.5,358.5,775.2,775.2,775.2000122070312
Bulls,450-600,Live Export,C,3,21,8,180.0,220.0,206.1904761904762,-41.0,327.3,400.0,374.9,919.6,1205.4,1062.7618815104167
Bulls,450-600,Live Export,D,3,44,39,180.0,220.0,207.0909090909091,-16.9,339.6,415.1,390.7,822.6,1251.6,1066.2936318137429
Bulls,450-600,Processor,C,2,1,NQ,110.0,110.0,110,NQ,207.5,207.5,207.5,541.2,541.2,541.2000122070312
Bulls,450-600,Processor,D,2,1,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,755.2,755.2,755.2000122070312
Bulls,450-600,Processor,D,3,10,-5,170.0,200.0,188.8,-16.0,320.8,377.4,356.2,921.4,1152.0,1034.8199951171875
Bulls,450-600,Restocker,D,3,1,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,974.4,974.4,974.4000244140625
Bulls,600+,Live Export,D,3,2,-1,198.0,215.0,206.5,-12.2,373.6,405.7,389.6,1315.8,1330.6,1323.1800537109375
Bulls,600+,Processor,C,3,9,-1,140.0,212.0,184.88888888888889,-34.1,254.5,385.5,336.2,1421.2,2066.2,1680.9288736979167
Bulls,600+,Processor,D,3,13,3,190.0,210.0,193.07692307692307,-14.7,358.5,396.2,364.3,1153.3,1446.0,1216.1231032151443
